행사명,날짜,시작 시간,끝나는 시간,가까운 지하철역,호선,환승역,승하차구분,05 ~ 06,06 ~ 07,07 ~ 08,08 ~ 09,09 ~ 10,10 ~ 11,11 ~ 12,12 ~ 13,13 ~ 14,14 ~ 15,15 ~ 16,16 ~ 17,17 ~ 18,18 ~ 19,19 ~ 20,20 ~ 21,21 ~ 22,22 ~ 23,23 ~ 24,00 ~ 01
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,김포공항,하차,63,313,339,467,491,587,822,754,776,766,689,742,676,528,345,204,167,142,130,12.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,까치산,하차,40,298,258,479,577,614,690,1019,1095,1248,1398,1667,1893,1893,1889,1658,2300,2135,1276,204.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,영등포구청,하차,28,95,74,138,136,157,165,151,202,207,207,182,190,161,133,160,249,254,103,7.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,신길,하차,26,54,62,134,103,116,126,148,181,255,281,401,473,438,355,325,335,365,270,0.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,여의도,하차,80,446,453,858,994,1123,1415,1523,1812,2040,2368,4785,9560,9292,5674,928,368,349,214,63.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,공덕,하차,43,163,223,361,504,514,665,694,641,648,671,928,1065,1016,483,487,525,572,385,12.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,종로3가,하차,15,130,159,336,772,1054,1521,1720,1781,1688,1609,1557,1408,1222,843,689,685,570,254,65.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,을지로4가,하차,23,171,185,368,309,385,406,443,485,384,338,394,286,217,152,154,170,220,80,7.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,동대문역사문화공원(DDP),하차,4,38,62,123,73,98,139,118,108,143,145,149,133,81,87,87,130,134,94,6.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,청구,하차,8,54,64,124,132,117,124,164,158,156,189,168,229,207,154,127,225,200,151,5.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,군자(능동),하차,30,182,196,330,391,363,444,543,590,623,673,765,1010,928,799,649,917,893,684,342.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,천호(풍납토성),하차,69,463,410,618,1027,1210,1320,1217,1476,1314,1366,1423,1513,1173,997,776,908,886,527,123.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,강동,하차,48,307,394,664,614,752,740,855,885,864,911,1017,1014,932,803,716,909,1005,653,210.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,올림픽공원(한국체대),하차,21,104,102,171,301,501,689,853,618,877,723,872,557,273,220,175,155,173,139,0.0
서울 세계 불꽃 축제,2022-10-08,20:00,20:30,여의나루역,5호선,개롱,하차,13,123,118,194,233,180,226,214,270,303,276,343,464,401,292,264,374,366,186,66.0
